title,star,comments
狸想世界,4.0,"整部電影都圍繞著「可愛」
真的會被河狸給萌暈～🦫❤️
突然其來的橋段會讓人腦洞大開
不過整體劇情稍嫌公式化
大部分發展都在預料之內
探討的議題重要但也不算新穎
中規中矩的故事靠著強大「萌力」加不少分"
狸想世界,5.0,超好看
狸想世界,4.5,差點錯過這部片了、皮克斯風格依舊、每個年齡觀看應該都有不同的體認跟想法，還是一部好作品
狸想世界,5.0,值得去電影院看
狸想世界,5.0,國小以上的小朋友或大人都會看得很開心！
狸想世界,5.0,好看
狸想世界,5.0,"好笑又好看
每一隻動物都做的好可愛好精緻！"
狸想世界,5.0,很感人，我愛動物們❤️
狸想世界,5.0,好看❤️
狸想世界,5.0,河狸國王超可愛👑
狸想世界,5.0,超級好看，全場爆笑 小動物都超級萌，細膩流暢的劇情。親情與小動物的感情互動，完全不是無腦動畫，那種看一眼就猜到結局的劇情！去看吧 絕對值得票價！👍
狸想世界,5.0,好看，沒什麼冷場，有些片段真的很好笑，值得帶孩子去看一下
狸想世界,4.5,👍感動搞笑好看🤩
狸想世界,5.0,只有皮克斯才能超越皮克斯，好多驚喜好喜歡❤️
狸想世界,4.5,主角設定不好，太中二！反觀動物們卻很討喜
狸想世界,5.0,好看
狸想世界,5.0,好看
狸想世界,5.0,"很感人~
蜥蜴Tom很好笑
想一直看到他
阿廢也很可愛喔！推爆
劇情完美"
狸想世界,5.0,❤️❤️❤️🦫🦫🦫🪵🪵🪵🥔🥔🥔🍞🍞🍞🤣🤣🤣
狸想世界,5.0,好看又可愛的動畫電影👍👍👍👍😍😍😍😍😍
狸想世界,5.0,太棒了 很好笑 也有發人深省的部分
狸想世界,5.0,"太可愛
太療癒
大人小孩都很適合。
真的好喜歡皮克斯的動畫"
狸想世界,5.0,超級無敵好看！
